"id","usuario_id","descricao_perfil"
"200056","500056","Eletricista com experiência em energia solar e automação residencial. Atendo toda a cidade e região."
"200057","500057","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200058","500058","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200059","500059","Transporte de pessoas e cargas leves. Pontualidade e segurança garantidas com 2 anos de experiência."
"200060","500060","Especialista em culinária brasileira e internacional. Preparo jantares especiais e buffet para eventos."
"200061","500061","Profissional de limpeza residencial com 13 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200062","500062","Adestrador de cães com certificação internacional. Correção de comportamento e obediência básica."
"200063","500063","Realizo limpeza doméstica completa, incluindo faxina, organização e higienização de ambientes. Trabalho com zelo e responsabilidade."
"200064","500064","Eletricista com 17 anos de experiência em instalações residenciais e comerciais. Serviço garantido e com nota fiscal."
"200065","500065","Instalação de tomadas, lâmpadas, ventiladores, ar-condicionado e quadros elétricos. Serviço rápido e com garantia."
"200066","500066","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200067","500067","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
"200068","500068","Transporte de pessoas e cargas leves. Pontualidade e segurança garantidas com 15 anos de experiência."
"200069","500069","Serviços de pintura com 8 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200070","500070","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200071","500071","Porteiro e zelador experiente. Controle de acesso, monitoramento e atendimento ao público com educação."
"200072","500072","Motorista experiente para executivos e eventos. Veículo próprio de alto padrão e total sigilo."
"200073","500073","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200074","500074","Pedreiro com 20 anos de experiência em reformas residenciais. Assentamento de pisos, revestimentos e alvenaria."
"200075","500075","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
"200076","500076","Pintor profissional com 4 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200077","500077","Professor de educação física e personal trainer. Aulas de natação, musculação e condicionamento físico."
"200078","500078","Pintor profissional com 3 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200079","500079","Pedreiro com 18 anos de experiência em reformas residenciais. Assentamento de pisos, revestimentos e alvenaria."
"200080","500080","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200081","500081","Serviços de pintura com 6 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200082","500082","Aulas de música: violão, teclado e teoria musical. Atendo crianças, jovens e adultos em domicílio."
"200083","500083","Trabalho como cuidadora de idosos e pessoas com necessidades especiais. Curso técnico e referências."
"200084","500084","Veterinário com visita domiciliar para consultas, vacinas e exames básicos. Atendimento carinhoso."
"200085","500085","Eletricista com 15 anos de experiência em instalações residenciais e comerciais. Serviço garantido e com nota fiscal."
"200086","500086","Mestre de obras com experiência em projetos residenciais e comerciais. Reformas com acompanhamento diário."
"200087","500087","Especialista em cuidados paliativos e reabilitação domiciliar. 3 anos de experiência na área."
"200088","500088","Vigilante patrimonial com 3 anos de experiência e curso de formação atualizado. Atuação em condomínios e empresas."
"200089","500089","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200090","500090","Pet sitter e dog walker com 9 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200091","500091","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200092","500092","Trabalho como cuidadora de idosos e pessoas com necessidades especiais. Curso técnico e referências."
"200093","500093","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200094","500094","Pintor profissional com 16 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200095","500095","Cuidado de pets em domicílio: alimentação, higiene e companhia enquanto você viaja ou trabalha."
"200096","500096","Diarista experiente com ótimas referências. Realizo faxina completa, lavagem de roupas e organização de ambientes."
"200097","500097","Profissional de limpeza residencial com 9 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200098","500098","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 17 anos."
"200099","500099","Trabalho como cuidadora de idosos e pessoas com necessidades especiais. Curso técnico e referências."
"200100","500100","Realizo limpeza doméstica completa, incluindo faxina, organização e higienização de ambientes. Trabalho com zelo e responsabilidade."
"200101","500101","Ofereço serviços de limpeza residencial e comercial com 10 anos de experiência. Referências disponíveis."
"200102","500102","Veterinário com visita domiciliar para consultas, vacinas e exames básicos. Atendimento carinhoso."
"200103","500103","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200104","500104","Profissional de segurança com treinamento em primeiros socorros e defesa pessoal. Disponível 12x36."
"200105","500105","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200106","500106","Trabalho com limpeza de escritórios, condomínios e residências. Seriedade, eficiência e preço justo."
"200107","500107","Diarista experiente com ótimas referências. Realizo faxina completa, lavagem de roupas e organização de ambientes."
"200108","500108","Profissional de limpeza residencial com 20 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200109","500109","Cuido de idosos com amor e profissionalismo. Atividades cognitivas, higiene e companhia diária."
"200110","500110","Encanador com 18 anos de atuação. Conserto de vazamentos, instalação de pias, vasos e chuveiros com rapidez."
"200111","500111","Realizo instalações elétricas, troca de fiação, quadros de distribuição e reparos em geral. Atendimento rápido e seguro."
"200112","500112","Chef de cozinha com 9 anos de experiência. Preparo de refeições para eventos, diárias e marmitas."
"200113","500113","Técnico em informática com 20 anos de experiência. Manutenção, formatação, redes e suporte remoto."
"200114","500114","Serviços de pintura com 3 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200115","500115","Chef de cozinha com 15 anos de experiência. Preparo de refeições para eventos, diárias e marmitas."
"200116","500116","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200117","500117","Motorista de aplicativo e particular. Atendo aeroporto, hospitais e viagens intermunicipais."
"200118","500118","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200119","500119","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200120","500120","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200121","500121","Ofereço cuidados diurnos e noturnos para idosos. Experiência em pacientes com Alzheimer e doenças crônicas."
"200122","500122","Ofereço serviços de limpeza residencial e comercial com 20 anos de experiência. Referências disponíveis."
"200123","500123","Eletricista com 19 anos de experiência em instalações residenciais e comerciais. Serviço garantido e com nota fiscal."
"200124","500124","Serviços de pintura com 10 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200125","500125","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200126","500126","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200127","500127","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 19 anos."
"200128","500128","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200129","500129","Diarista experiente com ótimas referências. Realizo faxina completa, lavagem de roupas e organização de ambientes."
"200130","500130","Jardineiro com formação técnica em paisagismo. Atendo residências, empresas e condomínios."
"200131","500131","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200132","500132","Eletricista com experiência em energia solar e automação residencial. Atendo toda a cidade e região."
"200133","500133","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200134","500134","Cozinheira profissional que atende residências, festas e empresas. Cardápio variado e sob medida."
"200135","500135","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200136","500136","Motorista experiente para executivos e eventos. Veículo próprio de alto padrão e total sigilo."
"200137","500137","Profissional de limpeza residencial com 15 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200138","500138","Jardineiro com 2 anos de experiência. Realizo manutenção de jardins, corte de grama, podas e paisagismo."
"200139","500139","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200140","500140","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200141","500141","Motorista particular disponível em tempo integral. Habilitação E, experiência com vans e micro-ônibus."
"200142","500142","Motorista particular com 5 anos de habilitação categoria B e D. Pontual, discreto e conhecedor da cidade."
"200143","500143","Eletricista com experiência em energia solar e automação residencial. Atendo toda a cidade e região."
"200144","500144","Motorista particular com 13 anos de habilitação categoria B e D. Pontual, discreto e conhecedor da cidade."
"200145","500145","Ofereço serviço de marmita fitness e dieta. Refeições balanceadas e saborosas entregues na sua porta."
"200146","500146","Realizo formatação de computadores, instalação de sistemas e limpeza de vírus. Atendimento domiciliar rápido."
"200147","500147","Trabalho com paisagismo e manutenção de áreas verdes. Projeto e execução com plantas nativas e exóticas."
"200148","500148","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200149","500149","Vigilante patrimonial com 13 anos de experiência e curso de formação atualizado. Atuação em condomínios e empresas."
"200150","500150","Cuidado de pets em domicílio: alimentação, higiene e companhia enquanto você viaja ou trabalha."
"200151","500151","Doceira profissional especializada em bolos, tortas e doces finos para casamentos e eventos."
"200152","500152","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200153","500153","Técnico em informática com 7 anos de experiência. Manutenção, formatação, redes e suporte remoto."
"200154","500154","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200155","500155","Banho e tosa profissional a domicílio. Equipamentos próprios e produtos de qualidade para seu pet."
"200156","500156","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200157","500157","Técnico em informática com 17 anos de experiência. Manutenção, formatação, redes e suporte remoto."
"200158","500158","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200159","500159","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200160","500160","Pintor profissional com 8 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200161","500161","Suporte técnico em TI para empresas e residências. Configuração de redes, servidores e equipamentos."
"200162","500162","Eletricista certificado. Atendo emergências, faço laudos e instalações completas seguindo as normas da ABNT."
"200163","500163","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200164","500164","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200165","500165","Profissional de limpeza residencial com 10 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200166","500166","Realizo instalação e manutenção de sistemas hidráulicos, caixas d'água, bombas e filtros."
"200167","500167","Profissional de limpeza residencial com 15 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200168","500168","Realizo pequenas e grandes reformas com responsabilidade e qualidade. 12 anos atendendo na região."
"200169","500169","Técnico certificado em redes e segurança da informação. Configuração de firewalls, VPN e backup em nuvem."
"200170","500170","Trabalho com manutenção elétrica predial e residencial há 20 anos. Preço acessível e serviço de qualidade."
"200171","500171","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200172","500172","Tutoria em matemática e ciências para ensino fundamental. Paciência, didática e resultados comprovados."
"200173","500173","Transporte de pessoas e cargas leves. Pontualidade e segurança garantidas com 8 anos de experiência."
"200174","500174","Mestre de obras com experiência em projetos residenciais e comerciais. Reformas com acompanhamento diário."
"200175","500175","Porteiro e zelador experiente. Controle de acesso, monitoramento e atendimento ao público com educação."
"200176","500176","Vigilante patrimonial com 11 anos de experiência e curso de formação atualizado. Atuação em condomínios e empresas."
"200177","500177","Motorista de aplicativo e particular. Atendo aeroporto, hospitais e viagens intermunicipais."
"200178","500178","Mestre de obras com experiência em projetos residenciais e comerciais. Reformas com acompanhamento diário."
"200179","500179","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
"200180","500180","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200181","500181","Segurança particular com experiência em eventos, casas noturnas e escolta pessoal. Discreto e eficiente."
"200182","500182","Especialista em jardinagem orgânica e hortas urbanas. Crio espaços verdes bonitos e sustentáveis."
"200183","500183","Especialista em limpeza pós-obra e limpeza pesada. Equipamentos próprios e produtos eficazes para deixar o espaço impecável."
"200184","500184","Pintor com especialização em texturas e efeitos decorativos. Transforme seu ambiente com qualidade e criatividade."
"200185","500185","Doceira profissional especializada em bolos, tortas e doces finos para casamentos e eventos."
"200186","500186","Cuidador com formação em enfermagem auxiliar. Administração de medicamentos e acompanhamento médico."
"200187","500187","Segurança particular com experiência em eventos, casas noturnas e escolta pessoal. Discreto e eficiente."
"200188","500188","Especialista em cuidados paliativos e reabilitação domiciliar. 7 anos de experiência na área."
"200189","500189","Vigilante patrimonial com 11 anos de experiência e curso de formação atualizado. Atuação em condomínios e empresas."
"200190","500190","Motorista particular disponível em tempo integral. Habilitação E, experiência com vans e micro-ônibus."
"200191","500191","Realizo instalações elétricas, troca de fiação, quadros de distribuição e reparos em geral. Atendimento rápido e seguro."
"200192","500192","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200193","500193","Profissional de limpeza residencial com 9 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200194","500194","Cuido de idosos com amor e profissionalismo. Atividades cognitivas, higiene e companhia diária."
"200195","500195","Cuidador com formação em enfermagem auxiliar. Administração de medicamentos e acompanhamento médico."
"200196","500196","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200197","500197","Cuidador com formação em enfermagem auxiliar. Administração de medicamentos e acompanhamento médico."
"200198","500198","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200199","500199","Pet sitter e dog walker com 15 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200200","500200","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200201","500201","Cuidador de idosos com 19 anos de experiência. Acompanhamento, higiene, medicação e lazer com carinho."
"200202","500202","Pintor profissional com 16 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200203","500203","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 18 anos."
"200204","500204","Transporte de pessoas e cargas leves. Pontualidade e segurança garantidas com 12 anos de experiência."
"200205","500205","Veterinário com visita domiciliar para consultas, vacinas e exames básicos. Atendimento carinhoso."
"200206","500206","Técnico certificado em redes e segurança da informação. Configuração de firewalls, VPN e backup em nuvem."
"200207","500207","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200208","500208","Ofereço cuidados diurnos e noturnos para idosos. Experiência em pacientes com Alzheimer e doenças crônicas."
"200209","500209","Porteiro e zelador experiente. Controle de acesso, monitoramento e atendimento ao público com educação."
"200210","500210","Especialista em cuidados paliativos e reabilitação domiciliar. 9 anos de experiência na área."
"200211","500211","Especialista em jardinagem orgânica e hortas urbanas. Crio espaços verdes bonitos e sustentáveis."
"200212","500212","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200213","500213","Trabalho com paisagismo e manutenção de áreas verdes. Projeto e execução com plantas nativas e exóticas."
"200214","500214","Motorista particular com 6 anos de habilitação categoria B e D. Pontual, discreto e conhecedor da cidade."
"200215","500215","Serviços hidráulicos em geral: desentupimento, troca de registros, instalação de aquecedores e reparos de tubulação."
"200216","500216","Aulas particulares de português e redação para concursos, ENEM e reforço escolar. Metodologia aprovada."
"200217","500217","Trabalho com manutenção elétrica predial e residencial há 15 anos. Preço acessível e serviço de qualidade."
"200218","500218","Especialista em reformas de banheiros e cozinhas. Acabamento fino e entrega no prazo combinado."
"200219","500219","Técnico em informática com 8 anos de experiência. Manutenção, formatação, redes e suporte remoto."
"200220","500220","Especialista em manutenção de notebooks e desktops. Troca de tela, teclado, HD e memória com garantia."
"200221","500221","Professor particular com 20 anos de experiência em matemática, física e química para ensino médio e vestibular."
"200222","500222","Especialista em manutenção de notebooks e desktops. Troca de tela, teclado, HD e memória com garantia."
"200223","500223","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200224","500224","Técnico certificado em redes e segurança da informação. Configuração de firewalls, VPN e backup em nuvem."
"200225","500225","Cuidado de pets em domicílio: alimentação, higiene e companhia enquanto você viaja ou trabalha."
"200226","500226","Trabalho como cuidadora de idosos e pessoas com necessidades especiais. Curso técnico e referências."
"200227","500227","Especialista em manutenção de notebooks e desktops. Troca de tela, teclado, HD e memória com garantia."
"200228","500228","Suporte técnico em TI para empresas e residências. Configuração de redes, servidores e equipamentos."
"200229","500229","Aulas particulares de português e redação para concursos, ENEM e reforço escolar. Metodologia aprovada."
"200230","500230","Realizo instalação e manutenção de sistemas hidráulicos, caixas d'água, bombas e filtros."
"200231","500231","Ofereço serviços de limpeza residencial e comercial com 20 anos de experiência. Referências disponíveis."
"200232","500232","Doceira profissional especializada em bolos, tortas e doces finos para casamentos e eventos."
"200233","500233","Eletricista com experiência em energia solar e automação residencial. Atendo toda a cidade e região."
"200234","500234","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 7 anos."
"200235","500235","Especialista em limpeza pós-obra e limpeza pesada. Equipamentos próprios e produtos eficazes para deixar o espaço impecável."
"200236","500236","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200237","500237","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200238","500238","Especialista em jardinagem orgânica e hortas urbanas. Crio espaços verdes bonitos e sustentáveis."
"200239","500239","Trabalho com manutenção elétrica predial e residencial há 2 anos. Preço acessível e serviço de qualidade."
"200240","500240","Aulas de música: violão, teclado e teoria musical. Atendo crianças, jovens e adultos em domicílio."
"200241","500241","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200242","500242","Pet sitter e dog walker com 2 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200243","500243","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200244","500244","Cozinheira profissional que atende residências, festas e empresas. Cardápio variado e sob medida."
"200245","500245","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 5 anos."
"200246","500246","Cozinheira profissional que atende residências, festas e empresas. Cardápio variado e sob medida."
"200247","500247","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200248","500248","Realizo instalação e manutenção de sistemas hidráulicos, caixas d'água, bombas e filtros."
"200249","500249","Banho e tosa profissional a domicílio. Equipamentos próprios e produtos de qualidade para seu pet."
"200250","500250","Instalação de tomadas, lâmpadas, ventiladores, ar-condicionado e quadros elétricos. Serviço rápido e com garantia."
"200251","500251","Manutenção de gramados, jardins e piscinas. Serviço semanal ou mensal com preço acessível."
"200252","500252","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200253","500253","Instalação de tomadas, lâmpadas, ventiladores, ar-condicionado e quadros elétricos. Serviço rápido e com garantia."
"200254","500254","Eletricista com experiência em energia solar e automação residencial. Atendo toda a cidade e região."
"200255","500255","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200256","500256","Cuidado de pets em domicílio: alimentação, higiene e companhia enquanto você viaja ou trabalha."
"200257","500257","Especialista em reformas de banheiros e cozinhas. Acabamento fino e entrega no prazo combinado."
"200258","500258","Porteiro e zelador experiente. Controle de acesso, monitoramento e atendimento ao público com educação."
"200259","500259","Motorista particular disponível em tempo integral. Habilitação E, experiência com vans e micro-ônibus."
"200260","500260","Limpeza residencial especializada em apartamentos. Atendo com produtos inclusos e horário flexível."
"200261","500261","Cuidador de idosos com 15 anos de experiência. Acompanhamento, higiene, medicação e lazer com carinho."
"200262","500262","Realizo pequenas e grandes reformas com responsabilidade e qualidade. 16 anos atendendo na região."
"200263","500263","Aulas particulares de português e redação para concursos, ENEM e reforço escolar. Metodologia aprovada."
"200264","500264","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200265","500265","Porteiro e zelador experiente. Controle de acesso, monitoramento e atendimento ao público com educação."
"200266","500266","Veterinário com visita domiciliar para consultas, vacinas e exames básicos. Atendimento carinhoso."
"200267","500267","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200268","500268","Trabalho com paisagismo e manutenção de áreas verdes. Projeto e execução com plantas nativas e exóticas."
"200269","500269","Eletricista certificado. Atendo emergências, faço laudos e instalações completas seguindo as normas da ABNT."
"200270","500270","Pintor com especialização em texturas e efeitos decorativos. Transforme seu ambiente com qualidade e criatividade."
"200271","500271","Doceira profissional especializada em bolos, tortas e doces finos para casamentos e eventos."
"200272","500272","Pedreiro com 17 anos de experiência em reformas residenciais. Assentamento de pisos, revestimentos e alvenaria."
"200273","500273","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200274","500274","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200275","500275","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200276","500276","Motorista particular com 18 anos de habilitação categoria B e D. Pontual, discreto e conhecedor da cidade."
"200277","500277","Pintor profissional com 9 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200278","500278","Tutoria em matemática e ciências para ensino fundamental. Paciência, didática e resultados comprovados."
"200279","500279","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
"200280","500280","Profissional de segurança com treinamento em primeiros socorros e defesa pessoal. Disponível 12x36."
"200281","500281","Pet sitter e dog walker com 4 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200282","500282","Cuido de jardins residenciais e condomínios. Aplicação de fertilizantes, controle de pragas e irrigação."
"200283","500283","Aulas particulares de português e redação para concursos, ENEM e reforço escolar. Metodologia aprovada."
"200284","500284","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200285","500285","Cuido de idosos com amor e profissionalismo. Atividades cognitivas, higiene e companhia diária."
