"id","solicitacao_id","cliente_id","prestador_id","nota","comentario","criado_em"
"200253","400253","600567","200803","4","Cumpriu tudo o que prometeu. Excelente!","2026-01-11 22:17:50"
"200521","400521","600531","200396","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-12 04:42:44"
"200784","400784","600603","200748","3","Cumpriu o combinado.","2026-01-12 08:19:00"
"200813","400813","600776","200434","1","Preço não condizente com a qualidade entregue.","2026-01-12 09:42:04"
"200020","400020","600721","200235","4","Trabalho feito com muito cuidado e dedicação.","2026-01-12 14:20:40"
"200104","400104","600821","200354","5","","2026-01-12 19:41:53"
"200601","400601","601103","200429","5","Perfeito, amei!","2026-01-12 21:51:52"
"200070","400070","600029","200329","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-13 03:54:11"
"200136","400136","600349","200683","1","Resultado final deixou a desejar.","2026-01-13 04:20:51"
"200306","400306","601053","200939","4","","2026-01-13 07:45:15"
"200817","400817","600333","200567","1","Serviço mal feito, precisou refazer partes.","2026-01-13 09:45:15"
"200287","400287","600418","200689","4","Melhor profissional que já contratei nessa área.","2026-01-13 12:38:02"
"200169","400169","601386","200518","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-13 23:43:23"
"200590","400590","600814","200493","5","","2026-01-13 23:58:51"
"200398","400398","601091","200890","4","Cumpriu tudo o que prometeu. Excelente!","2026-01-14 07:56:35"
"200899","400899","600364","200222","5","Muito satisfeito com o resultado. Recomendo.","2026-01-14 11:14:26"
"200637","400637","601046","200704","4","Fez um serviço excelente com um ótimo preço.","2026-01-14 13:02:21"
"200974","400974","600805","200957","3","Tudo realizado de acordo.","2026-01-14 14:13:27"
"200737","400737","601042","200812","4","Muito bom trabalho. Faria negócio de novo.","2026-01-14 18:46:57"
"200743","400743","600879","200052","1","Péssimo atendimento.","2026-01-15 00:16:31"
"200380","400380","600123","200367","5","Fez um serviço excelente com um ótimo preço.","2026-01-15 00:44:10"
"200912","400912","600066","200392","5","Muito bom trabalho. Faria negócio de novo.","2026-01-15 01:25:04"
"200310","400310","600429","200570","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-15 08:07:53"
"200752","400752","600437","200187","5","Recomendo sem hesitar. Trabalho nota 10!","2026-01-15 08:43:38"
"200730","400730","600429","200812","5","","2026-01-15 10:01:10"
"200510","400510","600242","200948","4","Ótimo atendimento, serviço entregue no prazo.","2026-01-15 16:03:41"
"200423","400423","600650","200738","5","Preço justo e serviço de alta qualidade.","2026-01-15 18:53:13"
"200573","400573","600673","200241","4","","2026-01-15 18:57:06"
"200598","400598","600196","200210","4","Muito pontual e educado. Ficou perfeito!","2026-01-15 21:52:51"
"200799","400799","600655","200983","5","Perfeito, amei!","2026-01-15 21:59:11"
"200088","400088","600891","200401","5","Muito bom trabalho. Faria negócio de novo.","2026-01-15 23:09:56"
"200228","400228","600885","200942","5","","2026-01-16 03:29:11"
"200921","400921","600482","200367","1","Serviço mal feito, precisou refazer partes.","2026-01-16 03:47:12"
"200909","400909","600681","200429","3","Dentro do esperado.","2026-01-16 03:50:10"
"200032","400032","600295","200382","5","Top demais!","2026-01-16 05:15:39"
"200648","400648","601141","200714","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-16 10:05:46"
"200870","400870","600692","200869","3","Serviço ok, dentro do esperado.","2026-01-16 12:15:21"
"200944","400944","600078","200503","2","Serviço de qualidade ruim.","2026-01-16 12:21:53"
"200044","400044","600660","200271","4","Trabalho feito com muito cuidado e dedicação.","2026-01-16 14:30:47"
"200415","400415","600388","200215","5","","2026-01-16 22:46:33"
"200515","400515","600949","200628","5","Muito satisfeito com o resultado. Recomendo.","2026-01-16 22:47:14"
"200015","400015","600066","200868","5","Ótimo atendimento, serviço entregue no prazo.","2026-01-17 00:59:21"
"200094","400094","600195","200608","5","Top demais!","2026-01-17 01:44:18"
"200214","400214","600206","200250","1","Não cumpriu o prazo acordado.","2026-01-17 05:27:51"
"200437","400437","601011","200317","5","Melhor profissional que já contratei nessa área.","2026-01-17 15:35:48"
"200827","400827","601165","200253","3","Foi ok, mas poderia ser melhor.","2026-01-17 21:35:41"
"200005","400005","600336","200002","5","Incrível, superou tudo.","2026-01-18 00:18:30"
"200951","400951","600050","200240","4","","2026-01-18 03:34:49"
"200686","400686","601218","200579","5","Muito bom mesmo!","2026-01-18 10:26:16"
"200349","400349","601095","200858","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-18 11:24:27"
"200663","400663","600032","200439","5","Muito satisfeito com o resultado. Recomendo.","2026-01-18 13:00:06"
"200829","400829","601487","200945","4","","2026-01-18 23:42:22"
"200513","400513","600643","200074","4","","2026-01-19 02:09:59"
"200461","400461","601306","200379","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-19 03:57:20"
"200681","400681","600390","200254","5","","2026-01-19 04:43:09"
"200189","400189","600917","200732","1","Muito abaixo do esperado.","2026-01-19 05:41:23"
"200215","400215","600358","200935","5","Ótimo atendimento, serviço entregue no prazo.","2026-01-19 08:25:09"
"200233","400233","601034","200074","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-19 14:40:24"
"200155","400155","600347","200041","4","Preço justo e serviço de alta qualidade.","2026-01-19 19:15:17"
"200578","400578","600863","200493","4","Muito bom mesmo!","2026-01-19 21:03:24"
"200807","400807","600836","200481","5","mt bom","2026-01-19 22:22:52"
"200494","400494","600652","200088","3","Ok.","2026-01-20 02:26:32"
"200677","400677","601373","200025","4","","2026-01-20 15:21:43"
"200942","400942","600156","200607","5","Trabalho impecável, superou minhas expectativas.","2026-01-20 16:23:59"
"200924","400924","600630","200836","5","","2026-01-20 18:07:17"
"200420","400420","600780","200335","4","Ótimo serviço! Ficou melhor do que esperava.","2026-01-20 21:27:54"
"200185","400185","600811","200076","4","Muito bom trabalho. Faria negócio de novo.","2026-01-20 21:44:31"
"200480","400480","600168","200306","4","Preço justo e serviço de alta qualidade.","2026-01-21 00:41:37"
"200144","400144","600829","200998","5","Muito bom mesmo!","2026-01-21 04:21:40"
"200434","400434","600574","200651","5","Muito bom mesmo!","2026-01-21 05:11:14"
"200528","400528","600970","200826","5","mt bom","2026-01-21 06:56:04"
"200819","400819","601265","200716","3","Razoável, nada além do básico.","2026-01-21 17:02:43"
"200060","400060","600780","200053","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-21 20:49:38"
"200824","400824","601293","200079","2","Demorou mais do que o combinado.","2026-01-21 21:33:02"
"200292","400292","600700","200796","5","","2026-01-22 07:53:05"
"200509","400509","600949","200648","2","Preço não condizente com a qualidade entregue.","2026-01-22 08:28:50"
"200488","400488","600969","200637","4","mt bom","2026-01-22 12:22:47"
"200418","400418","600862","200498","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-22 12:47:37"
"200458","400458","601059","200823","3","Foi satisfatório.","2026-01-22 15:19:45"
"200358","400358","601474","200290","5","","2026-01-22 18:26:59"
"200084","400084","601432","200299","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-22 21:18:39"
"200575","400575","600072","200222","5","Perfeito, amei!","2026-01-22 22:22:49"
"200124","400124","600901","200980","4","Muito pontual e educado. Ficou perfeito!","2026-01-22 23:45:40"
"200099","400099","601355","200415","1","Serviço de qualidade ruim.","2026-01-23 05:04:47"
"200649","400649","601471","200266","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-23 10:39:14"
"200719","400719","601275","200665","3","Cumpriu o combinado.","2026-01-23 11:18:05"
"200184","400184","600674","200715","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-23 17:05:40"
"200725","400725","600084","200550","5","Melhor profissional que já contratei nessa área.","2026-01-23 17:53:55"
"200786","400786","600536","200151","5","Profissional dedicado e competente. Nota 10!","2026-01-23 19:48:35"
"200442","400442","600133","200930","5","Serviço impecável. Pontual e prestativo.","2026-01-23 20:23:36"
"200988","400988","601194","200122","4","Resolveu tudo rapidinho e com muita qualidade.","2026-01-23 20:45:20"
"200224","400224","600326","200543","3","Dentro do esperado.","2026-01-24 01:11:30"
"200854","400854","600212","200518","5","Profissional dedicado e competente. Nota 10!","2026-01-24 05:08:43"
"200940","400940","601379","200279","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-24 05:40:35"
"200584","400584","601213","200727","4","Muito pontual e educado. Ficou perfeito!","2026-01-24 08:07:04"
"200721","400721","600700","200898","5","Top demais!","2026-01-24 08:53:30"
"200191","400191","600754","200358","2","Decepcionante, não voltaria a contratar.","2026-01-24 12:20:04"
"200090","400090","601498","200738","5","Profissional dedicado e competente. Nota 10!","2026-01-24 16:34:54"
"200058","400058","600771","200378","2","Serviço mal feito, precisou refazer partes.","2026-01-24 18:05:02"
"200409","400409","600879","200949","4","Trabalho feito com muito cuidado e dedicação.","2026-01-25 00:19:43"
"200955","400955","600817","200221","4","Ótimo atendimento, serviço entregue no prazo.","2026-01-25 01:44:09"
"200591","400591","600950","200022","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-25 01:50:40"
"200932","400932","601349","200133","5","","2026-01-25 04:09:38"
"200874","400874","601500","200379","3","Foi satisfatório.","2026-01-25 06:54:11"
"200468","400468","600493","200463","4","Ótimo serviço! Ficou melhor do que esperava.","2026-01-25 12:08:22"
"200804","400804","601111","200840","5","","2026-01-25 12:17:23"
"200007","400007","600209","200928","1","Serviço de qualidade ruim.","2026-01-25 12:21:58"
"200963","400963","600495","200231","5","mt bom","2026-01-25 12:43:15"
"200885","400885","600445","200560","4","","2026-01-25 14:26:03"
"200202","400202","600784","200580","5","Trabalho feito com muito cuidado e dedicação.","2026-01-26 02:39:39"
"200556","400556","600450","200884","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-26 09:05:49"
"200126","400126","600735","200966","5","","2026-01-26 16:34:56"
"200294","400294","600129","200168","5","Trabalho impecável, superou minhas expectativas.","2026-01-26 16:46:40"
"200417","400417","600941","200496","4","Muito pontual e educado. Ficou perfeito!","2026-01-26 18:18:03"
"200278","400278","600937","200509","5","mt bom","2026-01-26 19:14:30"
"200079","400079","600893","200530","4","Cumpriu tudo o que prometeu. Excelente!","2026-01-27 03:05:50"
"200891","400891","600032","200541","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-27 06:00:23"
"200282","400282","601259","200131","4","Serviço impecável. Pontual e prestativo.","2026-01-27 13:31:56"
"200666","400666","600299","200403","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-27 16:14:54"
"200319","400319","600694","200126","3","Foi satisfatório.","2026-01-27 18:32:54"
"200698","400698","601380","200288","5","Profissional dedicado e competente. Nota 10!","2026-01-27 19:36:32"
"200328","400328","601486","200541","2","Serviço de qualidade ruim.","2026-01-27 22:50:49"
"200833","400833","600680","200880","5","Serviço impecável. Pontual e prestativo.","2026-01-28 01:27:55"
"200408","400408","600781","200354","3","Tudo realizado de acordo.","2026-01-28 02:38:44"
"200448","400448","600327","200348","4","Profissional dedicado e competente. Nota 10!","2026-01-28 02:46:55"
"200978","400978","600444","200732","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-28 02:54:24"
"200330","400330","601481","200981","3","Foi ok, mas poderia ser melhor.","2026-01-28 04:50:08"
"200397","400397","601321","200104","5","Melhor profissional que já contratei nessa área.","2026-01-28 05:06:34"
"200164","400164","601457","200793","3","Tudo realizado de acordo.","2026-01-28 05:51:36"
"200862","400862","601060","200218","5","Excelente profissional, super recomendo!","2026-01-28 07:11:56"
"200997","400997","601008","200720","5","Profissional dedicado e competente. Nota 10!","2026-01-28 10:11:25"
"200102","400102","600482","200804","5","Muito bom mesmo!","2026-01-28 18:27:31"
"200834","400834","600437","200114","5","Adorei o resultado final! Muito profissional.","2026-01-28 21:01:18"
"200538","400538","601184","200873","4","Recomendo sem hesitar. Trabalho nota 10!","2026-01-28 23:01:19"
"200483","400483","600132","200565","5","Ótimo serviço! Ficou melhor do que esperava.","2026-01-29 02:45:03"
"200347","400347","600046","200833","5","Trabalho impecável, superou minhas expectativas.","2026-01-29 04:58:39"
"200907","400907","600696","200744","5","","2026-01-29 06:36:04"
"200736","400736","600951","200695","5","Muito satisfeito com o resultado. Recomendo.","2026-01-29 08:08:44"
"200507","400507","600501","200208","5","Trabalho impecável, superou minhas expectativas.","2026-01-29 09:53:48"
"200258","400258","600986","200635","1","Resultado final deixou a desejar.","2026-01-29 18:49:22"
"200576","400576","601243","200300","5","Incrível, superou tudo.","2026-01-29 22:08:34"
"200628","400628","601091","200315","1","Resultado final deixou a desejar.","2026-01-29 23:50:20"
"200689","400689","600350","200296","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-30 00:00:33"
"200518","400518","600867","200385","5","Serviço impecável. Pontual e prestativo.","2026-01-30 03:18:58"
"200313","400313","601126","200743","5","Ótimo serviço! Ficou melhor do que esperava.","2026-01-30 15:26:26"
"200086","400086","601056","200027","5","","2026-01-30 16:26:51"
"200022","400022","601476","200239","5","Ótimo atendimento, serviço entregue no prazo.","2026-01-30 20:34:52"
"200135","400135","600435","200510","1","Demorou mais do que o combinado.","2026-01-30 21:29:35"
"200905","400905","600104","200915","3","Serviço ok, dentro do esperado.","2026-01-31 05:56:11"
"200816","400816","600450","200770","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-31 16:04:10"
"200277","400277","600995","200378","5","Ótimo serviço! Ficou melhor do que esperava.","2026-01-31 17:17:27"
"200340","400340","600857","200974","5","Adorei o resultado final! Muito profissional.","2026-01-31 20:07:04"
"200477","400477","600781","200769","3","Bueno.","2026-01-31 20:33:49"
"200920","400920","600699","200178","4","Trabalho impecável, superou minhas expectativas.","2026-01-31 23:30:30"
"200285","400285","601446","200621","5","Muito bom mesmo!","2026-02-01 01:47:26"
"200709","400709","600411","200997","5","Muito pontual e educado. Ficou perfeito!","2026-02-01 04:05:54"
"200523","400523","600530","200407","5","Trabalho feito com muito cuidado e dedicação.","2026-02-01 10:56:30"
"200485","400485","600853","200678","2","Profissional pouco atencioso e descuidado.","2026-02-01 13:45:09"
"200197","400197","601144","200227","5","Incrível, superou tudo.","2026-02-01 14:03:08"
"200911","400911","600739","200883","5","","2026-02-01 17:48:43"
"200314","400314","600265","200977","5","Preço justo e serviço de alta qualidade.","2026-02-01 19:35:55"
"200831","400831","600324","200546","5","mt bom","2026-02-01 22:18:59"
"200992","400992","601007","200865","1","Não cumpriu o prazo acordado.","2026-02-02 02:54:52"
"200704","400704","600183","200678","5","Cumpriu tudo o que prometeu. Excelente!","2026-02-02 08:33:46"
"200256","400256","601330","200310","5","Ótimo serviço! Ficou melhor do que esperava.","2026-02-02 14:38:59"
"200207","400207","600954","200711","5","Profissional dedicado e competente. Nota 10!","2026-02-02 16:02:08"
"200346","400346","601177","200066","3","Dentro do esperado.","2026-02-02 16:31:40"
"200337","400337","600146","200215","4","Muito bom mesmo!","2026-02-02 17:04:03"
"200281","400281","600429","200337","1","Resultado final deixou a desejar.","2026-02-03 05:38:47"
"200927","400927","600007","200932","5","Muito pontual e educado. Ficou perfeito!","2026-02-03 07:23:24"
"200720","400720","600078","200437","3","","2026-02-03 10:11:16"
"200970","400970","600623","200955","5","mt bom","2026-02-03 13:51:33"
"200676","400676","601231","200462","1","Faltou profissionalismo.","2026-02-03 13:52:53"
"200443","400443","600594","200056","1","Não cumpriu o prazo acordado.","2026-02-03 14:28:48"
"200692","400692","600477","200557","2","Profissional pouco atencioso e descuidado.","2026-02-03 18:22:12"
"200403","400403","600885","200056","5","Perfeito, amei!","2026-02-03 19:23:36"
"200128","400128","600855","200133","5","Muito pontual e educado. Ficou perfeito!","2026-02-03 21:56:09"
"200289","400289","601420","200186","5","Serviço impecável. Pontual e prestativo.","2026-02-03 22:22:49"
"200597","400597","601203","200586","5","Excelente profissional, super recomendo!","2026-02-04 03:00:14"
"200800","400800","600973","200561","4","Cumpriu tudo o que prometeu. Excelente!","2026-02-04 09:52:36"
"200355","400355","600373","200178","3","Foi ok, mas poderia ser melhor.","2026-02-04 13:30:02"
"200699","400699","600132","200369","5","Profissional sério e comprometido. Recomendo a todos.","2026-02-04 13:59:22"
"200697","400697","600572","200510","5","Trabalho impecável, superou minhas expectativas.","2026-02-04 14:34:04"
"200390","400390","600238","200656","5","Preço justo e serviço de alta qualidade.","2026-02-04 14:39:56"
"200240","400240","600917","200397","3","Razoável, nada além do básico.","2026-02-04 20:14:35"
"200908","400908","601132","200010","1","Deixou o ambiente sujo após o trabalho.","2026-02-04 23:10:38"
"200055","400055","600920","200352","5","Muito satisfeito com o resultado. Recomendo.","2026-02-05 02:00:41"
"200938","400938","601385","200650","5","Melhor profissional que já contratei nessa área.","2026-02-05 03:36:04"
"200372","400372","601013","200398","3","Ok.","2026-02-05 03:44:42"
"200828","400828","600314","200896","3","Tudo realizado de acordo.","2026-02-05 12:20:56"
"200603","400603","600282","200163","5","Top demais!","2026-02-05 14:32:45"
"200658","400658","600578","200444","5","","2026-02-05 18:14:12"
"200433","400433","600192","200408","5","Profissional sério e comprometido. Recomendo a todos.","2026-02-05 18:16:02"
"200966","400966","601008","200025","4","","2026-02-05 20:10:54"
"200176","400176","601424","200350","5","Serviço de ótima qualidade, voltarei a contratar.","2026-02-05 20:33:03"
"200915","400915","600743","200345","5","Adorei o resultado final! Muito profissional.","2026-02-06 05:49:20"
"200018","400018","600794","200587","5","Excelente profissional, super recomendo!","2026-02-06 17:05:31"
"200283","400283","601193","200527","4","Top demais!","2026-02-06 23:13:28"
"200383","400383","600851","200279","5","Melhor profissional que já contratei nessa área.","2026-02-06 23:24:28"
"200210","400210","600476","200628","5","Resolveu tudo rapidinho e com muita qualidade.","2026-02-07 03:22:50"
"200211","400211","601205","200609","1","Serviço mal feito, precisou refazer partes.","2026-02-07 05:53:52"
"200759","400759","601108","200299","5","Preço justo e serviço de alta qualidade.","2026-02-07 07:44:46"
"200512","400512","600350","200768","1","Não recomendo, fui mal atendido.","2026-02-07 08:01:23"
"200600","400600","600194","200419","4","Cumpriu tudo o que prometeu. Excelente!","2026-02-07 14:26:46"
"200917","400917","600268","200363","1","Serviço mal feito, precisou refazer partes.","2026-02-07 15:51:13"
"200266","400266","600395","200036","5","Trabalho feito com muito cuidado e dedicação.","2026-02-07 15:54:35"
"200045","400045","600404","200518","3","Tudo realizado de acordo.","2026-02-07 16:51:59"
"200836","400836","600957","200108","5","Muito satisfeito com o resultado. Recomendo.","2026-02-07 17:24:18"
"200868","400868","600426","200136","5","Incrível, superou tudo.","2026-02-07 20:36:41"
"200624","400624","600344","200529","4","mt bom","2026-02-07 23:43:49"
"200223","400223","600300","200696","5","","2026-02-08 07:40:45"
"200459","400459","600807","200700","5","Recomendo sem hesitar. Trabalho nota 10!","2026-02-08 09:20:15"
"200941","400941","601013","200401","5","","2026-02-08 10:09:19"
"200154","400154","601153","200601","5","Profissional sério e comprometido. Recomendo a todos.","2026-02-08 13:55:29"
"200625","400625","600051","200064","2","Preço não condizente com a qualidade entregue.","2026-02-08 21:16:46"
"200857","400857","601330","200596","2","Faltou profissionalismo.","2026-02-08 23:49:41"
"200098","400098","600202","200150","4","Serviço impecável. Pontual e prestativo.","2026-02-08 23:53:37"
"200419","400419","601227","200940","5","Trabalho feito com muito cuidado e dedicação.","2026-02-09 09:13:12"
"200745","400745","600845","200038","1","Demorou mais do que o combinado.","2026-02-09 10:43:06"
"200043","400043","600191","200279","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-02-09 11:18:59"
"200508","400508","601246","200942","5","Perfeito, amei!","2026-02-09 11:28:32"
